username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Poznan_STAT;2017-10-30 15:17;0;0;"Komunikat o sytuacji społeczno-gospodarczej woj. wielkopolskiego-IX 2017 #USPoznań #bezrobocie #Wielkopolska http:// bit.ly/2iDuP0s pic.twitter.com/XqyIKyrpfA";;;#USPozna #bezrobocie #Wielkopolska;"925003798430568449";https://twitter.com/Poznan_STAT/status/925003798430568449
Olsztyn_STAT;2017-10-30 13:23;0;1;"#Bezrobocie w #warmińskomazurskie w III kw. 2017 r. http:// bit.ly/2gOAgW8 #RynekPracy pic.twitter.com/wn3NVOAE0H";;;#Bezrobocie #warmi #RynekPracy;"924975079699644416";https://twitter.com/Olsztyn_STAT/status/924975079699644416
plusradom;2017-10-30 10:34;0;1;"#Bezrobocie w woj. mazowieckim nieznacznie spada. @Warszawa_STAT zanotował także wzrost przeciętnego #wynagrodzenia . https:// radioplus.com.pl/radom/spada-be zrobocie-rosna-wynagrodzenia-26449 …";;@Warszawa_STAT;#Bezrobocie #wynagrodzenia;"924932462777716736";https://twitter.com/plusradom/status/924932462777716736
AgropolskaPL;2017-10-26 14:13;1;1;"Minister nie kryje zadowolenia. Mamy rynek pracownika https://www. agropolska.pl/aktualnosci/po lska/minister-nie-kryje-zadowolenia-mamy-rynek-pracownika,4398.html … #praca #bezrobocie @MRPiPS_GOV_PL @Stanislaw_Szwed pic.twitter.com/YqNXQSqdBv";;@MRPiPS_GOV_PL @Stanislaw_Szwed;#praca #bezrobocie;"923523052893294592";https://twitter.com/AgropolskaPL/status/923523052893294592
zielonalinia;2017-10-26 13:17;0;0;"Rafalska: Mamy rynek pracownika. Bezrobocie na koniec września wyniosło 6,8 proc. http:// bit.ly/2hcp8TP #Praca #Bezrobocie #StopaBezrobocia #RynekPracy";;;#Praca #Bezrobocie #StopaBezrobocia #RynekPracy;"923508836304150539";https://twitter.com/zielonalinia/status/923508836304150539
Gospodarka_PRSA;2017-10-26 10:45;0;0;"Minister #Rafalska : mamy w Polsce rynek pracownika #praca #pracownik #bezrobocie #zatrudnienie https://www. polskieradio.pl/42/275/Artykul /1900413,Minister-Rafalska-mamy-w-Polsce-rynek-pracownika …";;;#Rafalska #praca #pracownik #bezrobocie #zatrudnienie;"923470698798034944";https://twitter.com/Gospodarka_PRSA/status/923470698798034944
SGHWarsaw;2017-10-25 15:57;3;5;"#Konkurs na pamiętniki bezrobotnych. O projekcie opowiadają prof. P. Błędowski i dr @KubickiPawel z SGH https:// youtu.be/xjDRD-9-Ljo #bezrobocie";;@KubickiPawel;#Konkurs #bezrobocie;"923186660791201792";https://twitter.com/SGHWarsaw/status/923186660791201792
Gdansk_STAT;2017-10-25 14:00;0;1;"#pomorskie ma jeden z najniższych wskaźników dot. #bezrobocie ! #Gdansk #praca #dane #statystyka #Polska https:// twitter.com/GUS_STAT/statu s/922736375316860928 …";;;#pomorskie #bezrobocie #Gdansk #praca #dane #statystyka #Polska;"923157432351772673";https://twitter.com/Gdansk_STAT/status/923157432351772673
PolskieRadio24;2017-10-25 11:09;0;3;"" #Bezrobocie w Polsce w dużej mierze ma charakter statystyczny”. W #PR24 eksperci o spadku bezrobocia w Polsce @AndrzejSadowski , @ArkadiuszPaczka , dr Małgorzata Starczewska-Krzysztoszek z Konfederacji #Lewiatan #gospodarka https://www. polskieradio.pl/130/5894/Artyk ul/1899299,Ekspert-bezrobocie-w-Polsce-w-duzej-mierze-ma-charakter-statystyczny …";;@AndrzejSadowski @ArkadiuszPaczka;#Bezrobocie #PR24 #Lewiatan #gospodarka;"923114168353509377";https://twitter.com/PolskieRadio24/status/923114168353509377
dariuszlis01;2017-10-25 11:00;0;0;"#Bezrobocie w Polsce wciąż spada! Według danych #Eurostatu w sierpniu wyniosło 4,7 proc. #zatrudnienie #rynekPracy http:// bit.ly/2ldRSzI pic.twitter.com/Nq9xvz9xcD";;;#Bezrobocie #Eurostatu #zatrudnienie #rynekPracy;"923112140365381632";https://twitter.com/dariuszlis01/status/923112140365381632
