username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
olgierd_halski;2017-10-30 20:56;0;0;"Sytuacja na rynku pracy wcale nie jest taka dobra niby niskie bezrobocie a pensje stoją w miejscu bo przyjdzie bandera za min staw #Minęła20";;;#Min;"925089059487256576";https://twitter.com/olgierd_halski/status/925089059487256576
Telmi30;2017-10-30 20:24;0;0;"Nic nie udowodnił. To była gadka dla głupków. 2015r 4,5%PKB, 2018r 4,67%PKB. Oprócz tego pieniądze ze składek zdrowotnych są znacznie większe, bo bezrobocie jest rekordowo niskie. Pieniędzy w systemie służby zdrowia będzie więcej o 8 mld zł.";;;;"925080981375279104";https://twitter.com/Telmi30/status/925080981375279104
Telmi30;2017-10-30 20:16;0;0;"W 2015r. jak Arłukowicz kończył swoją beznadziejną kadencję było 4,5%PKB. W 2018r 4,67% PKB. Trzeba też zwrócić uwagę na taki szczegół jak większa ilość pieniędzy ze składek zdrowotnych, bo bezrobocie jest rekordowo małe.";;;;"925079006453620736";https://twitter.com/Telmi30/status/925079006453620736
Borowsky75;2017-10-30 19:06;0;0;"Przecież PiS, aż huczy, że mamy najmniejsze bezrobocie od X lat. I tak łatwo znaleźć pracę.";;;;"925061337922920448";https://twitter.com/Borowsky75/status/925061337922920448
Macronextcom;2017-10-30 16:13;0;0;"We wtorek w #kalendarium m.in. BoJ, PKB i HICP dla EZ i FR, CPI w PL, Chicago PMI, S&P/Case-Shiller, bezrobocie w NZ http://www. macronext.com/pl/dane-makro/ d/2017-10-31/c/0 …";;;#kalendarium;"925017853476196352";https://twitter.com/Macronextcom/status/925017853476196352
PE_Polska;2017-10-30 15:52;0;2;"Cyberbezpieczeństwo, bezrobocie wśród młodzieży, zmiana klimatu, wolność mediów wśród tematów obrad Zgromadzenia Parlamentarnego Sąsiedztwa Wschodniego #EuroNest z udziałem posłów PE i państw Partnerstwa Wschodniego w tym tygodniu w Kijowie: [EN] http://www. europarl.europa.eu/news/pl/press- room/20171027IPR87022/euronest-meps-and-east-european-counterparts-to-meet-in-ukraine … pic.twitter.com/lkFrHNynEY";;;#EuroNest;"925012540375076864";https://twitter.com/PE_Polska/status/925012540375076864
Poznan_STAT;2017-10-30 15:17;0;0;"Komunikat o sytuacji społeczno-gospodarczej woj. wielkopolskiego-IX 2017 #USPoznań #bezrobocie #Wielkopolska http:// bit.ly/2iDuP0s pic.twitter.com/XqyIKyrpfA";;;#USPozna #bezrobocie #Wielkopolska;"925003798430568449";https://twitter.com/Poznan_STAT/status/925003798430568449
Olsztyn_STAT;2017-10-30 13:23;0;1;"#Bezrobocie w #warmińskomazurskie w III kw. 2017 r. http:// bit.ly/2gOAgW8 #RynekPracy pic.twitter.com/wn3NVOAE0H";;;#Bezrobocie #warmi #RynekPracy;"924975079699644416";https://twitter.com/Olsztyn_STAT/status/924975079699644416
ikarusPL;2017-10-30 11:56;0;1;"Moze DE nie dolicza ich jeszcze, generalnie u nich ("uchodzcow") bezrobocie to <90% wiec zawyzaja ;-)";;;;"924953126293200896";https://twitter.com/ikarusPL/status/924953126293200896
rosalieirenen;2017-10-30 11:08;0;1;"Czyszczenie znaków drogowych: jeden macha szmatką, drugi trzyma drabinę, trzeci donosi szmatki. I tak spada w Polsce bezrobocie .. pic.twitter.com/DGypJ2uMby";;;;"924941088032542720";https://twitter.com/rosalieirenen/status/924941088032542720
